FountainTy,the_geom,OBJECTID,Position,Collection,Painted,GISPROPNUM,SIGNNAME,BOROUGH,FountainCo,GISOBJID,SYSTEM,DEPARTMENT,PARENTID,DESCRIPTIO,FEATURESTA
C,POINT (-73.9461571402069 40.685746313775304),109,"Near Ballfield, In Playground",01/14/2018 12:00:00 AM +0000,yes,B323,Hattie Carthan Playground,B,1,100037580,B323-DF0099,B-03,B323,"C, Near Ballfield, In Playground",Active
Bottle Filler,POINT (-73.92807860273928 40.77060731341977),607,In Playground,01/25/2018 12:00:00 AM +0000,,Q321,Van Alst Playground,Q,1,100038009,Q321-DF0044,Q-01,Q321,"Bottle Filler, In Playground",Active
A,POINT (-73.80879008824664 40.79218815839475),650,"Under Tree, In Shade, Near Ballfield",01/25/2018 12:00:00 AM +0000,no,Q343,Whitestone Playground,Q,1,100037999,Q343-DF0061,Q-07,Q343,"A, Under Tree, In Shade, Near Ballfield",Active
CS Concrete,POINT (-73.93140483920845 40.64793480360242),773,"Out in Open, In Playground",01/27/2018 12:00:00 AM +0000,no,B234,Tilden Playground,B,1,100038138,B234-DF0501,B-17,B234,"CS Concrete, Out in Open, In Playground",Active
C,POINT (-73.84241709478401 40.75103432046998),1148,Out in Open,02/01/2018 12:00:00 AM +0000,no,Q099,Flushing Meadows Corona Park,Q,1,100038553,Q099-DF0287,Q-15,Q099,"C, Out in Open",Active
Trough,POINT (-73.8983006952694 40.886777526462254),1271,"Under Tree, In Playground",02/02/2018 12:00:00 AM +0000,yes,X092,Van Cortlandt Park,X,1,100038629,X092-DF0229,X-13,X092,"Trough, Under Tree, In Playground",Active
Trough,POINT (-73.81318972976997 40.58381271347718),1314,Out in Open,02/02/2018 12:00:00 AM +0000,no,Q163,Rockaway Beach Boardwalk,Q,1,100038741,Q163-DF0423,Q-14,Q163,"Trough, Out in Open",Active
D,POINT (-73.90552996600913 40.887815343228084),1812,Under Tree,02/14/2018 12:00:00 AM +0000,no,X224,MacLaughlin Playground,X,1,100039286,X224-DF0359,X-08,X224,"D, Under Tree",Active
A,POINT (-73.76960614625064 40.68602838592829),2814,In Playground,05/11/2018 12:00:00 AM +0000,no,Q448,Roy Wilkins Recreation Center,Q,1,100040209,Q448-DF0777,Q-12,Q448,"A, In Playground",Active
D,POINT (-73.84247056811886 40.700906947047535),458,In Playground,01/23/2018 12:00:00 AM +0000,no,Q015,Forest Park,Q,1,100037862,Q015-DF0014,Q-16,Q015,"D, In Playground",Active
A,POINT (-73.90241776582482 40.77782906036353),630,Near Ballfield,01/25/2018 12:00:00 AM +0000,no,Q332,Woodtree Playground,Q,1,100038061,Q332-DF0048,Q-01,Q332,"A, Near Ballfield",Active
D,POINT (-73.87755766652322 40.72095767645868),1291,Out in Open,02/02/2018 12:00:00 AM +0000,yes,Q102,Juniper Valley Park,Q,1,100038621,Q102-DF0401,Q-05,Q102,"D, Out in Open",Active
A,POINT (-73.85978446921648 40.720436561615145),1463,"Under Tree, In Playground",02/06/2018 12:00:00 AM +0000,yes,Q306,The Painter's Playground,Q,1,100038802,Q306-DF0517,Q-06,Q306,"A, Under Tree, In Playground",Active
E Wheelchair,POINT (-73.97790068391477 40.710892417190195),2545,"Under Tree, Near Ballfield",04/04/2018 12:00:00 AM +0000,yes,M144,John V. Lindsay East River Park,M,1,100039900,M144-DF0352,M-03,M144,"E Wheelchair, Under Tree, Near Ballfield",Active
E Wheelchair,POINT (-73.88460072079081 40.69062036783966),481,Out in Open,01/23/2018 12:00:00 AM +0000,no,Q020,Highland Park,Q,1,100037855,Q020-DF0032,Q-05A,Q020,"E Wheelchair, Out in Open",Active
D,POINT (-73.9053338343462 40.81352720103616),1440,"Under Tree, In Playground",02/05/2018 12:00:00 AM +0000,yes,X233,Fountain Of Youth Playground,X,1,100038882,X233-DF0267,X-01,X233,"D, Under Tree, In Playground",Active
A,POINT (-73.86095259541281 40.73342825209711),1981,Near Ballfield,02/17/2018 12:00:00 AM +0000,no,Q428,Horace Harding Playground,Q,1,100039390,Q428-DF0569,Q-06,Q428,"A, Near Ballfield",Active
A,POINT (-73.92571624708499 40.82308733727061),2104,Out in Open,02/22/2018 12:00:00 AM +0000,no,X047,Franz Sigel Park,X,1,100039574,X047-DF0403,X-04,X047,"A, Out in Open",Active
E Wheelchair Child,POINT (-73.96397169908562 40.777631842432946),2522,In Playground,03/24/2018 12:00:00 AM +0000,yes,M010,Central Park,M,2,100039973,M010-DF0329,M-13,M010,"E Wheelchair Child, In Playground",Active
E Wheelchair Child,POINT (-73.97619653840809 40.736109272277226),2645,"Just Outside Playground, Near Ballfield",04/11/2018 12:00:00 AM +0000,,M164,Asser Levy Playground,M,2,100040022,M164-DF0452,M-06,M164,"E Wheelchair Child, Just Outside Playground, Near Ballfield",Active
D,POINT (-73.95824577649833 40.692062017232324),89,Near Ballfield,01/14/2018 12:00:00 AM +0000,,B266,Star Spangled Playground,B,1,100037464,B266-DF0079,B-03,B266,"D, Near Ballfield",Active
A,POINT (-73.85881293857953 40.88776934391895),338,"Under Tree, In Shade, In Playground",01/21/2018 12:00:00 AM +0000,no,X141,Rienzi Playground,X,1,100037716,X141-DF0045,X-12,X141,"A, Under Tree, In Shade, In Playground",Active
A,POINT (-73.93463272246585 40.77182740833203),587,In Playground,01/25/2018 12:00:00 AM +0000,no,Q226,Hallets Cove Playground,Q,1,100037944,Q226-DF0042,Q-01,Q226,"A, In Playground",Active
F High Low,POINT (-73.91943426036589 40.63689409146381),836,"Out in Open, Just Outside Playground",01/29/2018 12:00:00 AM +0000,yes,B236,Glenwood Playground,B,2,100038221,B236-DF0516,B-18,B236,"F High Low, Out in Open, Just Outside Playground",Active
A,POINT (-73.76732679022858 40.59906642128006),1085,Out in Open,02/01/2018 12:00:00 AM +0000,no,Q007,Bayswater Park,Q,1,100038465,Q007-DF0234,Q-14,Q007,"A, Out in Open",Active
F High Low,POINT (-73.86585178844273 40.843566312973856),1334,Under Tree,02/03/2018 12:00:00 AM +0000,yes,X093,Van Nest Park,X,2,100038707,X093-DF0246,X-11,X093,"F High Low, Under Tree",Active
A,POINT (-74.08983708200229 40.58289470214008),1583,In Playground,02/10/2018 12:00:00 AM +0000,yes,R087,Dongan Playground,R,1,100038990,R087-DF0095,R-02,R087,"A, In Playground",Active
A,POINT (-73.98635207379607 40.78382800859193),1832,"Just Outside Playground, Near Ballfield, Out in Open",02/14/2018 12:00:00 AM +0000,yes,M071,Riverside Park,M,1,100039233,M071-DF0021,M-14,M071,"A, Just Outside Playground, Near Ballfield, Out in Open",Active
E Wheelchair Child,POINT (-73.883781648395 40.677725458537644),195,"Under Tree, In Playground",01/16/2018 12:00:00 AM +0000,yes,B163,Sperandeo Brothers Playground,B,2,100037592,B163-DF0185,B-05,B163,"E Wheelchair Child, Under Tree, In Playground",Active
C,POINT (-73.93995607212061 40.6746789689748),693,"In Playground, Out in Open",01/26/2018 12:00:00 AM +0000,yes,BT16,St. Mark's Playground,B,1,100038047,BT16-DF0467,B-08,BT16,"C, In Playground, Out in Open",Active
C,POINT (-73.92727302900934 40.665898097448),730,Under Tree,01/26/2018 12:00:00 AM +0000,yes,B054,Lincoln Terrace / Arthur S. Somers Park,B,1,100038161,B054-DF0492,B-08,B054,"C, Under Tree",Active
C,POINT (-73.78231990042197 40.67728075189273),1191,In Playground,02/01/2018 12:00:00 AM +0000,no,Q005,Baisley Pond Park,Q,1,100038502,Q005-DF0322,Q-12,Q005,"C, In Playground",Active
D,POINT (-73.74608302326126 40.59513869376141),1228,Just Outside Playground,02/02/2018 12:00:00 AM +0000,no,Q162J,Beach 9 Playground,Q,1,100038683,Q162J-DF0350,Q-14,Q162J,"D, Just Outside Playground",Active
A,POINT (-73.71511304706546 40.7497143537693),2353,Near Ballfield,03/02/2018 12:00:00 AM +0000,no,Q310,Glen Oaks Oval,Q,1,100039776,Q310-DF0695,Q-13,Q310,"A, Near Ballfield",Active
E Wheelchair,POINT (-73.96500135061895 40.78043708895184),2900,"Under Tree, In Shade",05/29/2018 12:00:00 AM +0000,yes,M010,Central Park,M,1,100040228,M010-DF0601,M-13,M010,"E Wheelchair, Under Tree, In Shade",Active
A,POINT (-74.11054252145131 40.617712353874644),1961,Out in Open,02/17/2018 12:00:00 AM +0000,yes,R005,Clove Lakes Park,R,1,100039321,R005-DF0164,R-01,R005,"A, Out in Open",Active
CS Metal,POINT (-74.01839056613562 40.70506569322364),2210,In Shade,02/27/2018 12:00:00 AM +0000,no,M283,Battery Park City,M,1,100039639,M283-DF0171,M-01,M283,"CS Metal, In Shade",Active
E Wheelchair,POINT (-73.96180450138817 40.78875922730629),2957,"Under Tree, Out in Open",06/01/2018 12:00:00 AM +0000,yes,M010,Central Park,M,1,100040322,M010-DF0622,M-13,M010,"E Wheelchair, Under Tree, Out in Open",Active
C,POINT (-73.82570717189672 40.84712420206664),3043,Near Ballfield,01/18/2018 12:00:00 AM +0000,yes,X039,Pelham Bay Park,X,1,100040423,X039-DF0456,X-15,X039,"C, Near Ballfield",Active
C,POINT (-73.86201958063027 40.748605370294314),942,Near Ballfield,01/30/2018 12:00:00 AM +0000,no,Q026,Park Of The Americas,Q,1,100038339,Q026-DF0145,Q-04,Q026,"C, Near Ballfield",Active
E Wheelchair,POINT (-73.9714781133276 40.574001248842855),979,Out in Open,01/31/2018 12:00:00 AM +0000,no,B169,Coney Island Beach & Boardwalk,B,1,100038353,B169-DF0584,B-13,B169,"E Wheelchair, Out in Open",Active
D,POINT (-73.85330490359611 40.68580648020978),2024,In Playground,02/19/2018 12:00:00 AM +0000,no,Q128,London Planetree Playground,Q,1,100039421,Q128-DF0603,Q-09,Q128,"D, In Playground",Active
C,POINT (-73.97449563283378 40.71897745246964),2565,Near Ballfield,04/04/2018 12:00:00 AM +0000,no,M144,John V. Lindsay East River Park,M,1,100039964,M144-DF0372,M-03,M144,"C, Near Ballfield",Active
B,POINT (-73.93566494864172 40.792466939279294),2602,"Near Ballfield, Under Tree",04/05/2018 12:00:00 AM +0000,no,M047,Thomas Jefferson Park,M,1,100040028,M047-DF0409,M-11,M047,"B, Near Ballfield, Under Tree",Active
Pedestal,POINT (-73.91484509600676 40.794847254317666),3,"Out in Open, Near Ballfield",01/11/2018 12:00:00 AM +0000,,M104,Randall's Island Park,M,1,100037397,M104-DF0003,M-11R,M104,"Pedestal, Out in Open, Near Ballfield",Active
C,POINT (-73.82445540922943 40.846618680174934),252,Near Ballfield,01/18/2018 12:00:00 AM +0000,no,X039,Pelham Bay Park,X,1,100037649,X039-DF0008,X-15,X039,"C, Near Ballfield",Active
D,POINT (-73.95750980216903 40.60380865286166),1669,In Playground,02/12/2018 12:00:00 AM +0000,yes,B051,Kelly Park,B,1,100039017,B051-DF0670,B-15,B051,"D, In Playground",Active
E Wheelchair,POINT (-73.96242699019052 40.75499171211726),1918,Under Tree,02/22/2018 12:00:00 AM +0000,yes,M108P,Sutton Parks,M,1,100039360,M108P-DF0065,M-06,M108P,"E Wheelchair, Under Tree",Active
A,POINT (-73.81090303186626 40.7459031701811),2167,Near Ballfield,02/26/2018 12:00:00 AM +0000,no,Q024,Kissena Park,Q,1,100039546,Q024-DF0641,Q-07,Q024,"A, Near Ballfield",Active
A,POINT (-73.89293578789773 40.6290065308492),2416,"Out in Open, Near Ballfield",03/05/2018 12:00:00 AM +0000,yes,B018,Canarsie Park,B,1,100039809,B018-DF0815,B-18,B018,"A, Out in Open, Near Ballfield",Active
A,POINT (-73.91373062337226 40.66214588516702),146,"Under Tree, In Shade",01/15/2018 12:00:00 AM +0000,yes,B008,Betsy Head Park,B,1,100037571,B008-DF0136,B-16,B008,"A, Under Tree, In Shade",Active
A,POINT (-73.94282703420701 40.678260548284065),152,"Near Ballfield, In Playground",01/15/2018 12:00:00 AM +0000,yes,B225,St. Andrew's Playground,B,1,100037549,B225-DF0142,B-03,B225,"A, Near Ballfield, In Playground",Active
A,POINT (-73.8527634409574 40.73598175391941),1277,In Playground,02/02/2018 12:00:00 AM +0000,no,Q377,Playground Sixty Two LXII,Q,1,100038680,Q377-DF0393,Q-06,Q377,"A, In Playground",Active
C,POINT (-74.16276532524505 40.61976673327574),1769,Out in Open,02/13/2018 12:00:00 AM +0000,no,R114,Jennifer's Playground,R,1,100039132,R114-DF0115,R-01,R114,"C, Out in Open",Active
C,POINT (-73.94921759388254 40.74756422946874),1775,"Near Ballfield, Out in Open",02/13/2018 12:00:00 AM +0000,no,Q141,Murray Playground,Q,1,100039135,Q141-DF0559,Q-02,Q141,"C, Near Ballfield, Out in Open",Active
Pedestal,POINT (-74.19724704998616 40.5613017398295),1818,Near Ballfield,02/14/2018 12:00:00 AM +0000,yes,R017,Freshkills Park,R,1,100039196,R017-DF0130,R-02,R017,"Pedestal, Near Ballfield",Active
Trough,POINT (-73.9303285585562 40.827188668778426),2310,Out in Open,03/01/2018 12:00:00 AM +0000,no,X030,Macombs Dam Park,X,1,100039723,X030-DF0424,X-04,X030,"Trough, Out in Open",Active
C,POINT (-73.91365078039611 40.83618063687335),2316,Out in Open,03/01/2018 12:00:00 AM +0000,no,X271,Grant Park,X,1,100039724,X271-DF0429,X-04,X271,"C, Out in Open",Active
E Wheelchair Child,POINT (-73.8426050906633 40.84061235789907),295,Out in Open,01/20/2018 12:00:00 AM +0000,no,X016,Owen F. Dolen Park,X,2,100037692,X016-DF0027,X-10,X016,"E Wheelchair Child, Out in Open",Active
D,POINT (-73.86404138631929 40.890777343654484),544,In Playground,01/24/2018 12:00:00 AM +0000,no,X004,Bronx River Parkway,X,1,100037898,X004-DF0080,X-09,X004,"D, In Playground",Active
E Wheelchair,POINT (-73.94683636751311 40.63753102802805),1377,"Out in Open, Near Ballfield",02/03/2018 12:00:00 AM +0000,no,B250,Nostrand Playground,B,1,100038753,B250-DF0631,B-17,B250,"E Wheelchair, Out in Open, Near Ballfield",Active
C,POINT (-73.8889576283587 40.81526264548716),1626,In Playground,02/12/2018 12:00:00 AM +0000,no,X260,Julio Carballo Fields,X,1,100039057,X260-DF0310,X-02,X260,"C, In Playground",Active
E Wheelchair,POINT (-74.01596779848006 40.70260399561268),2459,Under Tree,03/10/2018 12:00:00 AM +0000,yes,M005,The Battery,M,1,100039814,M005-DF0282,M-01,M005,"E Wheelchair, Under Tree",Active
A,POINT (-73.94760287109482 40.70614733472294),2708,Near Ballfield,04/25/2018 12:00:00 AM +0000,,B055,Sternberg Park,B,1,100040115,B055-DF0873,B-01,B055,"A, Near Ballfield",Active
C,POINT (-73.99675316511679 40.57836301107772),444,"Out in Open, In Playground",01/22/2018 12:00:00 AM +0000,no,B129,Kaiser Park,B,1,100037798,B129-DF0359,B-13,B129,"C, Out in Open, In Playground",Active
E Wheelchair,POINT (-73.97572557550173 40.57349615260316),985,Out in Open,01/31/2018 12:00:00 AM +0000,no,B169,Coney Island Beach & Boardwalk,B,1,100038362,B169-DF0588,B-13,B169,"E Wheelchair, Out in Open",Active
A,POINT (-73.85017982454814 40.66501359088188),1526,Out in Open,02/07/2018 12:00:00 AM +0000,yes,Q408,Harold Schneiderman Playground,Q,1,100038980,Q408-DF0543,Q-10,Q408,"A, Out in Open",Active
C,POINT (-74.03844842816625 40.63407325595739),2067,Near Ballfield,02/22/2018 12:00:00 AM +0000,no,B082,Shore Park and Parkway,B,1,100039413,B082-DF0774,B-10,B082,"C, Near Ballfield",Active
B,POINT (-73.93268037495604 40.80562802505406),2608,Near Ballfield,04/05/2018 12:00:00 AM +0000,no,M208D,Harlem River Park,M,1,100039998,M208D-DF0415,M-11,M208D,"B, Near Ballfield",Active
C,POINT (-73.87780644602857 40.842724546371436),1755,"Out in Open, In Playground",02/13/2018 12:00:00 AM +0000,no,X002,Bronx Park,X,1,100039164,X002-DF0353,X-06,X002,"C, Out in Open, In Playground",Active
C,POINT (-74.01303252862796 40.6323429778734),2087,Near Ballfield,02/22/2018 12:00:00 AM +0000,no,B146,Quaker Parrot Park at the Dust Bowl,B,1,100039484,B146-DF0791,B-10,B146,"C, Near Ballfield",Active
A,POINT (-73.91236649736705 40.611619890288836),2419,"Near Ballfield, Out in Open",03/06/2018 12:00:00 AM +0000,no,B329,Lindower Park,B,1,100039806,B329-DF0818,B-18,B329,"A, Near Ballfield, Out in Open",Active
A,POINT (-73.76521862550268 40.77251172318),2751,Out in Open,05/01/2018 12:00:00 AM +0000,no,Q012,Cross Island Parkway,Q,1,100040184,Q012-DF0751,Q-11,Q012,"A, Out in Open",Active
D,POINT (-73.84542565370121 40.838936747049694),3083,,11/30/1899 12:00:00 AM +0000,,X170,The Pearly Gates,X,1,100040496,X170-DF0471,X-10,X170,D,Active
C,POINT (-73.89024000457235 40.667366746129055),189,In Playground,01/16/2018 12:00:00 AM +0000,yes,B056,Martin Luther King Jr. Playground,B,1,100037553,B056-DF0179,B-05,B056,"C, In Playground",Active
C,POINT (-73.92417335939491 40.83331969199249),521,"Out in Open, Near Ballfield",01/24/2018 12:00:00 AM +0000,,X034,Mullaly Park,X,1,100037964,X034-DF0061,X-04,X034,"C, Out in Open, Near Ballfield",Active
D,POINT (-73.92549746169449 40.66709164536252),736,Out in Open,01/26/2018 12:00:00 AM +0000,yes,B054,Lincoln Terrace / Arthur S. Somers Park,B,1,100038153,B054-DF0498,B-08,B054,"D, Out in Open",Active
A,POINT (-73.84527476821374 40.74743577382117),1068,Under Tree,02/01/2018 12:00:00 AM +0000,no,Q099,Flushing Meadows Corona Park,Q,1,100038446,Q099-DF0217,Q-15,Q099,"A, Under Tree",Active
C,POINT (-73.9271327698568 40.61817913321108),1400,"Under Tree, Out in Open, In Playground",02/04/2018 12:00:00 AM +0000,no,B291,Power Playground,B,1,100038759,B291-DF0633,B-18,B291,"C, Under Tree, Out in Open, In Playground",Active
C,POINT (-74.03015708041453 40.64052403518205),1732,Just Outside Playground,02/12/2018 12:00:00 AM +0000,no,B066,Owl's Head Park,B,1,100039143,B066-DF0718,B-10,B066,"C, Just Outside Playground",Active
A,POINT (-73.978424764258 40.74196947859772),2064,In Playground,02/22/2018 12:00:00 AM +0000,no,M265,Vincent F. Albano Jr. Playground,M,1,100039436,M265-DF0123,M-06,M265,"A, In Playground",Active
C,POINT (-73.9444885031784 40.774097113819096),2396,In Playground,03/03/2018 12:00:00 AM +0000,no,M081,Carl Schurz Park,M,1,100039760,M081-DF0261,M-08,M081,"C, In Playground",Active
C,POINT (-73.9418616029679 40.8025113230147),2728,Near Ballfield,05/01/2018 12:00:00 AM +0000,no,M243,Eugene McCabe Field,M,1,100040185,M243-DF0505,M-11,M243,"C, Near Ballfield",Active
A,POINT (-73.87122286524018 40.859045340318566),530,Out in Open,01/24/2018 12:00:00 AM +0000,no,X002,Bronx Park,X,1,100037961,X002-DF0070,X-06,X002,"A, Out in Open",Active
E Wheelchair Dog,POINT (-73.95552037260236 40.791608776151946),3060,Out in Open,06/12/2018 12:00:00 AM +0000,yes,M010,Central Park,M,1,100040440,M010-DF0643,M-13,M010,"E Wheelchair Dog, Out in Open",Active
A,POINT (-73.93392522714005 40.60669822400518),2442,Near Ballfield,03/06/2018 12:00:00 AM +0000,yes,B057,Marine Park,B,1,100039803,B057-DF0841,B-18,B057,"A, Near Ballfield",Active
A,POINT (-73.936438552294 40.82900639375079),2774,"Under Tree, In Playground, Near Ballfield",05/09/2018 12:00:00 AM +0000,yes,M216,Holcombe Rucker Park,M,1,100040104,M216-DF0525,M-10,M216,"A, Under Tree, In Playground, Near Ballfield",Active
E Wheelchair Dog,POINT (-73.94990590594197 40.79682564629575),3106,"Under Tree, In Shade",07/11/2018 12:00:00 AM +0000,yes,M010,Central Park,M,1,100040429,M010-DF0670,M-13,M010,"E Wheelchair Dog, Under Tree, In Shade",Active
E High Low,POINT (-73.92289938217765 40.64394105390567),335,"Out in Open, Near Ballfield",01/21/2018 12:00:00 AM +0000,no,B285,Harry Maze Playground,B,2,100037703,B285-DF0282,B-17,B285,"E High Low, Out in Open, Near Ballfield",Active
D,POINT (-73.89667287303713 40.81947608195389),922,Near Ballfield,01/30/2018 12:00:00 AM +0000,no,X255,Rainey Park,X,1,100038340,X255-DF0206,X-02,X255,"D, Near Ballfield",Active
A,POINT (-73.89696154358069 40.69750798970862),999,In Playground,01/31/2018 12:00:00 AM +0000,no,Q302,Evergreen Park,Q,1,100038364,Q302-DF0165,Q-05,Q302,"A, In Playground",Active
D,POINT (-74.08128463392868 40.59574086963549),1586,In Playground,02/10/2018 12:00:00 AM +0000,no,R063,Old Town Playground,R,1,100038961,R063-DF0097,R-02,R063,"D, In Playground",Active
A,POINT (-74.00410576051061 40.74661845690148),2250,"Under Tree, In Shade, In Playground",02/27/2018 12:00:00 AM +0000,yes,M257,Clement Clarke Moore Park,M,1,100039661,M257-DF0206,M-04,M257,"A, Under Tree, In Shade, In Playground",Active
A,POINT (-74.00275612463598 40.728070303089964),2914,"Under Tree, In Playground",05/29/2018 12:00:00 AM +0000,yes,M120B,Playground of the Americas,M,1,100040330,M120B-DF0615,M-02,M120B,"A, Under Tree, In Playground",Active
B,POINT (-73.99645526229924 40.688318187398835),2920,"In Shade, In Playground",05/30/2018 12:00:00 AM +0000,,B326,Cobble Hill Park,B,1,100040307,B326-DF0900,B-06,B326,"B, In Shade, In Playground",Active
Trough,POINT (-73.90587278877067 40.82885437255689),1609,Out in Open,02/11/2018 12:00:00 AM +0000,no,X243,Estella Diggs Park,X,1,100039054,X243-DF0294,X-03,X243,"Trough, Out in Open",Active
E Wheelchair,POINT (-73.89555075072332 40.88158376611418),2273,Under Tree,02/28/2018 12:00:00 AM +0000,yes,X020,Fort Independence Playground,X,1,100039675,X020-DF0412,X-08,X020,"E Wheelchair, Under Tree",Active
E Wheelchair Dog,POINT (-73.97264025669674 40.65468440108357),2937,"Out in Open, Just Outside Playground",05/31/2018 12:00:00 AM +0000,,B073,Prospect Park,B,1,100040377,B073-DF0915,B-19,B073,"E Wheelchair Dog, Out in Open, Just Outside Playground",Active
